,dates,titles,tag,descriptions
451,"May 14, 2020",ICE announces extension of flexibility in rules related to Form I-9 compliance,"|Worksite Enforcement, COVID-19",Employers who were served notices of inspection (NOIs) by ICE during the month of March 2020 and had not already responded were granted an automatic extension for 60 days from the effective date. ICE will grant an additional extension of 30 days to these employers.
452,"May 14, 2020","10 alleged MS-13 members and associates charged with murder, attempted murder, murder conspiracy and firearms offenses",|Transnational Gangs,"This gang investigation was prompted by three murders, occurring on the street, at Kissena Park and on an elevated Subway Platform in Queens. One defendant was arrested May 13 in Maryland. Five defendants were arrested May 14 in New York and California. On May 15, four defendants will be arrested and transferred to federal custody from detention facilities where they are currently held."
453,"May 14, 2020",ICE HSI Orlando special agent supports Running 4 Heroes,|Management and Administration,"The HSI Orlando office recently honored fallen HSI Task Force Agent (TFA) Miguel Martínez-Ortiz during Running 4 Heroes. Martínez-Ortiz, a member of the Puerto Rico Police Department was a TFA for HSI San Juan and a 28-year veteran of law enforcement. He passed away on April 24, 2020, after contracting COVID-19 while on duty."
454,"May 14, 2020",Arkansas man convicted of child exploitation following ICE HSI investigation,|Child Exploitation,"Martin Rosales-Rodriguez, 20, of Rogers, Ark., will also be required to complete ten years of supervision following his release."
455,"May 14, 2020",Arkansas man sentenced to 15 years for child exploitation following ICE HSI investigation,|Child Exploitation,"Brion Carey, 35, of Fayetteville, will also be required to serve 20 years of supervised release following his release from federal prison."
456,"May 13, 2020",ICE removes Mexican woman wanted in Mexico for financial crimes,|Enforcement and Removal,"Maria Guadalupe Chavero-Jimenez, 30, is accused of taking money from Banco Santender, Mexico. According to Mexican authorities, in 2016, bank officials reported a total of $1.6 million pesos, approximately $85,000 U.S. dollars, had been taken from a bank vault. The bank launched an internal investigation and learned that Chavero-Jimenez, who had access to the vault, had allegedly taken the money."
457,"May 12, 2020",ICE HSI promotes online safety for kids through virtual presentations,|Child Exploitation,"Homeland Security Investigations (HSI) Child Exploitation Investigations Unit (CEIU) is now offering virtual presentations for school systems and youth organizations nationwide through the Project iGuardian program. Through online seminars, parents, teachers and students will have the opportunity to learn more about the dangers of online environments, how to stay safe online and how to report abuse and suspicious activity – particularly while kids are using online learning tools during the COVID-19 pandemic."
458,"May 12, 2020",ICE removes MS-13 gang member wanted in El Salvador,|Enforcement and Removal,"Celio Alexander Serrano-Trejo, 34, an MS-13 gang member, was removed from the United States via an ICE Air Operations charter flight and transferred into the custody of Salvadoran law enforcement authorities."
459,"May 11, 2020",ICE returns Mexican fugitive suspected of murder,|Enforcement and Removal,"In June 2000, a magistrate in Oaxaca, Mexico issued an arrest warrant for Arsenio Victor Balderas-Martinez, who is suspected in the March 6, 2000, shooting death of a family member. If convicted, Balderas-Martinez faces a sentence of 35 years in prison."
460,"May 11, 2020","ICE  HSI, law enforcement partners, joint investigation results in Oregon man being charged with smuggling and importing misbranded chloroquine from China for attempted resale",|COVID-19,"Matthew Owens, 42, has been charged by criminal complaint with smuggling and the receipt in interstate commerce of misbranded drugs and the delivery thereof for pay."
461,"May 8, 2020",Los Angeles-area man pleads guilty to producing dozens of sexually explicit images and videos of children,|Child Exploitation,"Chaunta A. Bashir, a.k.a. “taytheonly,” 26, of Chino, agreed to plead guilty to one count of production of child pornography, according to a plea agreement filed Monday in United States District Court. A hearing where Bashir will enter his guilty plea is expected to be set in the coming weeks."
462,"May 8, 2020",ICE Homeland Security Investigations catch San Francisco man streaming child pornography on Zoom,|Child Exploitation,"Chad Andrew Carter, 44, (a.k.a. “TopRod”) was arrested by ICE's HSI agents May 5 for possessing approximately 3,077 image files and 469 video files containing child pornography, including images and videos of victims as young as three-to-five years old."
463,"May 7, 2020",Salvadoran man in ICE custody passes away in San Diego,"|Detainee Death Notifications, COVID-19","Consistent with the agency’s protocols, the appropriate agencies have been notified about the death, including the Department of Homeland Security’s (DHS) Office of Inspector General (OIG), and the ICE Office of Professional Responsibility (OPR)."
464,"May 7, 2020","ICE HSI El Paso investigating COVID-19-related fraud, such as unauthorized test kits, face masks, diluted cleaning solutions, anti-viral products",|COVID-19,"Criminal organizations continue to try to smuggle fraudulent, mislabeled, and unauthorized COVID-19 related products, such as purported anti-viral products, personal protective equipment (PPE), and test kits across the El Paso-Ciudad Juarez border."
465,"May 6, 2020",Washington State man arrested for attempting to smuggle firearms into Mexico through the Eagle Pass Port of Entry,"|Firearms, Ammunition and Explosives","Michael Diaz-Calderon, 51, from Washington State, was charged May 6, 2020, by a U.S. District Judge."
466,"May 6, 2020",ICE arrests criminal alien on Most Wanted list,|Enforcement and Removal,"Kristian Jonas Gamez Trejo, a 25-year old citizen of Honduras, was on the ICE ERO Most Wanted list when he was apprehended in San Francisco, California, by the ICE San Francisco Field Office, ERO At-Large and Fugitive Operations Teams."
467,"May 6, 2020","Oregon jail releases illegal aliens arrested in possession of illicit drugs, over immigration detainer",|Enforcement and Removal,"Leonel Campos-Valdez and Francisco Vasquez-Cruz are both citizens of Mexico and in the United States illegally. Both men were charged with unlawful delivery of methamphetamine, laundering a monetary instrument and unlawful possession of methamphetamine and booked into the Jackson County Jail in Medford, Oregon."
468,"May 5, 2020","ICE arrests, removes Salvadoran gang member wanted for homicide",|Enforcement and Removal,"Hector Edgardo Martinez-Cuellar, 26, from El Salvador, and a member of the transnational criminal street gang known as the “18th Street” gang, was wanted by Salvadoran law enforcement authorities on aggravated homicide and terrorist organization-related charges."
469,"May 5, 2020","HSI partners with Pfizer, 3M, Citi, Alibaba, Amazon, Merck to protect consumers against COVID-19-related fraud","|Intellectual Property Rights and Commercial Fraud, COVID-19","Since the start of the pandemic, HSI and other law enforcement agencies have seen a significant increase in criminals attempting to capitalize and profit from the fear and anxiety surrounding the virus, including the sale of counterfeit pharmaceuticals and medical equipment and illicit online sales and trade importation violations of products claiming to be treatment options."
470,"May 5, 2020",International narcotics trafficker extradited to New York for prosecution,|Narcotics,"Following an investigation by ICE’s HSI in New York, Melvin Martinez, 38, was arraigned Tuesday in the Eastern District of New York on an international cocaine distribution conspiracy charge."
471,"May 5, 2020","Leaders of Indiana County, Pa. drug trafficking organization charged in crack cocaine ring",|Narcotics,"Seven leaders of a drug trafficking organization distributing crack cocaine and methamphetamine throughout Indiana County, Pennsylvania were arrested and charged federally with drug trafficking, following an investigation by the FBI, ICE's HSI, Indiana County District Attorney’s Drug Task Force, Southwest Pennsylvania Safe Streets Task Force, Indiana Borough Police Department, Pennsylvania State Police, Bureau of Alcohol, Tobacco, Firearms, and Explosives, and the Pennsylvania Office of the Attorney General."
472,"May 4, 2020",Michigan man charged with manufacturing child pornography after allegedly traveling to Pennsylvania to sexually assault a minor,|Child Exploitation,"Mark Allen Hillis, also known as “Daddy” and “Denverpolice#666,” age 57, is alleged to have met a minor through social media and then directed her to produce and send him graphic images of child pornography via text messages."
473,"May 1, 2020",Criminal charges filed against 2 Iranian nationals for violating money laundering & sanctions laws by procuring petroleum tanker,|Financial Crimes,"Amir Dianat, 55, and Kamran Lajmiri, 42, both Iranian nationals, were charged with violating U.S. export laws and sanctions against Iran in the U.S. District Court for the District of Columbia."
474,"April 29, 2020",ICE HSI seizes approximately 48 kilograms of cocaine,|Narcotics,"Special Agents from ICE's HSI in Detroit, seized approximately 48 kilograms of cocaine on April 29."
475,"April 29, 2020",ICE removes Liberian security forces commander,|Human Rights Violators,"Alexander Mentol Zinnah, 56, arrived in Liberia escorted by ERO officers on board an ICE charter removal flight and was turned over to Liberian law enforcement authorities."
476,"April 29, 2020",7-Eleven franchisee pleads guilty to harboring illegal aliens,|Worksite Enforcement,"Following an investigation by ICE’s HSI and subsequent prosecution from the U.S. Attorney’s Office for the EDNY, Yong Min Choe, 55, pleaded guilty to conspiracy to conceal and harbor illegal aliens by employing them at his 7-Eleven franchise in Brentwood, New York."
477,"April 29, 2020",ICE HSI Nogales seizes several hundred bottles of diluted cleaning products,|COVID-19,"In March and April 2020, CBP officers at the Port of Nogales Mariposa Crossing observed an increase of imported products in demand due to the current COVID-19 related shortages. Special agents began investigating how and where these products we attempting to make their way into the United States."
478,"April 28, 2020",Oklahoma man sentenced to 20 years for possessing a gun while dealing methamphetamine after HSI investigation,"|Narcotics, Firearms, Ammunition and Explosives","Jerry James Kendall Ritchie, 32, was indicted federally Nov. 13, 2018, with possessing methamphetamine with intent to distribute, possessing a firearm in furtherance of a drug-trafficking crime, and felon in possession of a firearm. These charges stemmed from his Oct. 19, 2018, arrest by the Enid Police Department."
479,"April 28, 2020","Los Angeles-area lawyer agrees to plead guilty to a string of crimes, including paying bribes to ICE HSI and FBI special agents",|Financial Crimes,"Edgar Sargsyan, 39, an attorney with law offices in Beverly Hills, was charged today with conspiracy to commit bank fraud, two counts of bribing a public official, and two counts of making false statements to federal investigators."
480,"April 27, 2020",ICE HSI launches online resource page to combat COVID-19 fraud,|COVID-19,ICE's HSI launched a dedicated “Operation Stolen Promise” web page Monday to provide information to the public on COVID-19-related fraud schemes.
481,"April 27, 2020",New Mexico man arrested after standoff with ICE HSI for trafficking methamphetamine,|Narcotics,"Lorenzo Sanchez, 39, appeared in federal court April 27 in Las Cruces, New Mexico, for an initial appearance on a criminal complaint charging him with conspiracy and possession with intent to distribute methamphetamine."
482,"April 24, 2020","ICE ""Most Wanted"" fugitive apprehended in California",|Enforcement and Removal,"Aggravated felon Julio Garcia-Castellano, also known as Victor Garcia Ignacio, 33, is an unlawfully present Guatemalan national and was convicted of second-degree rape by the Circuit Court of the State of Oregon for Lane County, Feb. 1, 2010."
483,"April 24, 2020",COVID-19 fraud domain seized from seller who attempted to sell it using bitcoin,|COVID-19,"HSI recently launched Operation Stolen Promise to protect the homeland and global supply-chain from the increasing and evolving threat posed by COVID-19-related fraud and criminal activity by combining HSI’s expertise in global trade investigations, financial fraud, and cyber investigations with robust private and public partnerships."
484,"April 24, 2020",ICE HSI Tulsa investigation results in 15-year sentence in methamphetamine case,|Narcotics,"Takila Shauntel Carpenter, 34, of Murfreesboro, Tennessee, was also sentenced to five years of supervised release."
485,"April 24, 2020",Truck driver charged with bringing nearly $2 million in cocaine to south Texas,|Contraband,"Edgardo Serrano, 51, from New Boston, Michigan was charged April 24, 2020 by U.S. District Judge Ignacio Torteva III."
486,"April 23, 2020",Fugitive Alien Removal Task Force arrests illegally present Salvadoran national wanted for rape of a minor,|Enforcement and Removal,"Upon his arrest, the FAR Task Force served Jose Luis Rodriguez-Vasquez with a Notice to Appear, Form I-862, pursuant to Section 212(a)(6)(A)(i) of the Immigration and Nationality Act, as an alien present in the United States without admission or parole. Rodriguez-Vasquez is in ICE custody pending removal proceedings."
487,"April 22, 2020",ICE removes 3 Mexican fugitives wanted for homicide,|Enforcement and Removal,"Alfredo Medina-Martinez, 29, Guillermo Vazquez-Saenz, 51, and Eduardo Antonio Perez Don Juan, 53, all citizens of Mexico, were escorted to the Laredo, Texas, Port of Entry where they were presented to Mexican law enforcement authorities."
488,"April 15, 2020",ICE HSI launches Operation Stolen Promise,"|COVID-19, Financial Crimes","The operation intensifies collaboration with multiple federal departments and agencies, along with business and industry representatives. Surging criminal activity surrounding the COVID-19 pandemic requires an equally robust investigative response to protect the American public."
489,"April 14, 2020","ICE HSI arrests Georgia resident for selling illegal pesticide, claiming it protects against coronavirus","|COVID-19, Financial Crimes","Rong Sun, a/k/a Vicky Sun made her initial appearance on federal criminal charges Thursday for illegally importing and selling an unregistered pesticide, and mailing a prohibited article, as part of an online scheme offering the product for sale on Ebay while claming, without any legal basis, the illegal pesticide would protect persons from coronavirus."
490,"April 13, 2020","ICE HSI investigates, arrests Georgia man in multi-million COVID-19 fraud scam","|COVID-19, Financial Crimes","Christopher Parris, 39, was arrested on wire fraud criminal complaint charges. It alleges that he made and caused to be made a series of fraudulent misrepresentations in an attempt to secure orders from the Department of Veterans Affairs for 125 million face masks and other PPE that would have totaled over $750 million."
491,"April 10, 2020",ICE Denver renews enforcement efforts with Teller County Sheriff,|287g Immigration and Nationality Act,"As part of the agreement, deputies from the Teller County Jail have received specialized training from ICE in order to perform federal law enforcement activities under the direction of ICE supervisory detention and deportation officers."
492,"April 10, 2020","ICE Air has flown over 1,000 US citizens home amid COVID-19 pandemic","|Operational, COVID-19","U.S. citizens and LPRs occupied the Space Available seats on flights to the United States from El Salvador, Honduras, Colombia and Nicaragua. On April 7, ICE returned 71 U.S. citizens and LPRs from El Salvador, bringing the total to 1,037 returned since March 22."
493,"April 9, 2020",2 historic Khmer statues returned to Cambodia,"|Cultural Property, Art and Antiquities Investigations","The first item is an 11th Century sandstone Khmer statue torso of the Khleang style wearing a Khmer sampot, a traditional garment of Cambodia. The second item, dated between the early 10th to late 10th century, is a large gray sandstone Khmer statue torso of an unidentified deity."
494,"April 9, 2020",Phoenix women sentenced for drug trafficking and money laundering,"|Narcotics, Financial Crimes","Consuelo Stephanee Pena, 29, and on March 16, Dulce Avilene Gonzalez-Rosillo, 24, both of Phoenix were sentenced by U.S. District Judge Diane J. Humetewa and U.S. District Judge Douglas L. Rayes, respectively, for their participation in their illegal activity."
495,"April 8, 2020",Goodyear man indicted for sexual exploitation of a minor,|Child Exploitation,"Jesse Anthony Garcia, 29, of Goodyear was charged with nine counts of sexual exploitation of a minor as confirmed by that Arizona Attorney General Mark Brnovich."
496,"April 8, 2020",ICE Air flew home 113 US citizens and lawful permanent residents from Honduras April 6 amid COVID-19 outbreak,"|Operational, COVID-19","On the return flight to the United States, ICE facilitated the transportation of U.S. citizens in accordance with the OMB Circular A-126 and the DHS MD 0020.1."
497,"April 8, 2020",Mexican man convicted in South Texas of smuggling nearly $600k,|Contraband,"Jorge Alberto Ruiz-Periban, from Mexico, entered his guilty plea before U.S. District Judge Randy Crane. As part of his plea agreement, Ruiz-Periban admitted he intended to evade the currency reporting requirement and intended to transport money he hid in a tire, on a trip from Mission, Texas, to Mexico."
498,"April 7, 2020",ICE Air flew home 124 US citizens from El Salvador on April 3 amid COVID-19 outbreak,"|Operational, COVID-19","On the return flight to the United States, ICE facilitated the transportation of U.S. citizens in accordance with the OMB Circular A-126 and the DHS MD 0020.1."
499,"April 7, 2020",ICE Dallas arrests Salvadoran gang member wanted for capital murder,|Enforcement and Removal,"Jonathan Alexander Gonzalez-Rosales, 25, is in the U.S. illegally and an active member of the 18th Street Gang, a transnational criminal organization. The Texas Office of the Attorney General assisted members of the ERO Dallas Fugitive Operations Team with the arrest."
500,"April 3, 2020","Central Illinois teacher, coach arrested for child pornography",|Child Exploitation,"Douglas O. Mynatt, 56, of Savoy, Illinois, is employed as a physical education teacher at Urbana’s University High School and serves as coach of the girls cross-country program."
501,"April 2, 2020",ICE Air brought home 69 US citizens and Lawful Permanent Residents from Nicaragua and Honduras,"|Operational, COVID-19","ICE removed Honduran and Nicaraguan nationals with final orders of removal from the United States to their home countries on April 1. On the return flights to the United States, ICE facilitated the transportation of U.S. citizens and LPRs in accordance with the OMB Circular A-126 and the DHS MD 0020.1."
502,"April 2, 2020",ICE HSI shares tools to keep children safe online,|Child Exploitation,"The project is an outreach effort to share information about the dangers of online environments, how to stay safe online, and how to report abuse and suspicious activity. In addition, the iGuardian team helps children stay safe online by providing safety tips, a number to call, and a website with links to more information and resources."
503,"April 2, 2020",Wasilla man charged with identity theft and false statements,|Document and Benefit Fraud,"Jay Osmond Gardner, 55, of Wasilla, has been charged with identify theft and false statements, after allegedly obtaining a state ID using the identification of another individual to travel interstate and avoid contact with law enforcement. "
504,"April 2, 2020",Los Angeles-area man convicted of sexually assaulting a toddler,|Child Exploitation,"Arthur William Callender, 23, of Buena Park, was found guilty in California Superior Court of penetration of a child under the age of ten, a crime that carries a maximum sentence of 50 years in state prison. He is scheduled to be sentenced on June 12, 2020."
505,"April 1, 2020",9 Arizonans indicted in undercover child sexual exploitation crackdown,|Child Exploitation,"The operation was an undercover investigation targeting individuals soliciting sexual conduct with minors. In the course of the operational period, the below defendants were arrested and accused of various sex crimes offenses. Two defendants have been charged with child sex trafficking."
506,"April 1, 2020",ICE Air brought home 114 US citizens from El Salvador March 31 amid COVID-19 outbreak,"|Operational, COVID-19","On the return flight to the United States, ICE facilitated the transportation of U.S. citizens in accordance with the OMB Circular A-126 and the DHS MD 0020.1."
507,"April 1, 2020",British man charged with shipping mislabeled and unapproved 'treatments' for patients suffering from COVID-19,"|Intellectual Property Rights and Commercial Fraud, COVID-19","Frank Richard Ludlow, 59, of West Sussex, United Kingdom, was charged with one count of introducing misbranded drugs into interstate commerce, a felony offense that carries a statutory maximum sentence of three years in federal prison."
508,"March 31, 2020",ICE Air flying home US citizens from Colombia during COVID-19,"|Operational, COVID-19","ICE removed Colombian nationals with final orders of removal from the United States to their home country March 30. On the return flight to the United States, ICE transported U.S. citizens in accordance with the OMB Circular A-126 and the DHS MD 0020.1."
509,"March 31, 2020",San Diego Tunnel Task Force uncovers sophisticated cross-border drug tunnel under the US/Mexico border,|Narcotics,"Agents seized approximately 1,300 pounds of cocaine, 86 pounds of methamphetamine, 17 pounds of heroin, 3,000 pounds of marijuana and more than two pounds of fentanyl from the tunnel. The large seizure of mixed drugs represents the first time in San Diego’s history where five different types of drugs were found inside a tunnel. The total street value of the drugs seized from the tunnel is estimated at $29.6 million."
510,"March 28, 2020",ICE Air flying home 466 US citizens from Central America during COVID-19 outbreak,"|Operational, COVID-19","On the return flights to the United States, ICE facilitated the transportation of U.S. citizens in accordance with the OMB Circular A-126 and the DHS MD 0020.1. In total, ICE brought home 130 US citizens from Honduras on two separate flights, and 127 US citizens from El Salvador."
511,"March 27, 2020","15 current, former Venezuelan officials charged with narco-terrorism, corruption, drug trafficking and other criminal charges",|Financial Crimes,"Charges against former President of Venezuela Nicolás Maduro Moros, Venezuela's Vice President for the Economy, Venezuela's Minister of Defense and Venezuela's Chief Supreme Court Justice, as well as two members of the Revolutionary Armed Forces of Colombia (FARC) were announced Thursday, following multiple investigations by ICE's HSI New York's El Dorado Task Force and HSI Miami, as well as investigations by the U.S. Drug Enforcement Administration."
512,"March 27, 2020",Montana man sentenced to 15 years in sexual exploitation case,|Child Exploitation,"Todd Louis Pajnich, 30, pleaded guilty in December to sexual exploitation of a child."
513,"March 26, 2020",ICE Air brought home US citizens from Honduras March 25 amid COVID-19 outbreak ,"|Operational, COVID-19","On the return flight to the United States, ICE facilitated the transportation of U.S. citizens in accordance with the OMB Circular A-126 and the DHS MD 0020.1."
514,"March 25, 2020",ICE Air flying home US citizens from Central America during COVID-19 outbreak,"|Operational, COVID-19","On the return flight to the United States, ICE facilitated the transportation of U.S. citizens in accordance with the OMB Circular A-126 and the DHS MD 0020.1."
515,"March 25, 2020","ICE HSI agent, family, save man in danger of drowning, hypothermia, during boating trip",|Operational,"An ICE HSI special agent and his family were sailing en route to the Strait of Juan de Fuca, Tuesday, when they intercepted a Coast Guard broadcast stating a man had fallen overboard near Edmonds and was in need of urgent assistance."
516,"March 24, 2020",Former Louisiana pastor sentenced to 60 years after ICE HSI investigation,|Child Exploitation,"In coordination with the Calcasieu Parish Sheriff’s Office Sex Crimes Unit, HSI Lake Charles special agents determined John Michael Ward, 45, of Westlake, abused a juvenile victim over a two year period and, on two occasions, coerced the minor to engage in sexually explicit conduct for the purpose of capturing sexually explicit videos of the minor. Ward was serving as a pastor of Bellview Baptist Church in Westlake, LA, at the time of his arrest."
517,"March 24, 2020",ICE detainee tests positive for COVID-19 at Bergen County Jail,"|Enforcement and Removal, COVID-19","A 31-year-old Mexican national in U.S. Immigration and Customs Enforcement custody at the Bergen County Jail in Hackensack, New Jersey, has tested positive for COVID-19."
518,"March 23, 2020",DHS law enforcement in Yuma discover cross-border tunnel,|Narcotics,"Contractors working on the wall project had been moving soil in the area when they uncovered plywood and boards, which agents later determined to be possible tunnel shoring. After further excavation the incomplete tunnel measured approximately 8 to 12 feet below the surface of the ground at the location of the sink hole. This is the sixth tunnel discovered in the Yuma Sector area of responsibility."
519,"March 23, 2020",Mexican man in ICE custody passes away in Texas,|Detainee Death Notifications,"ICE is firmly committed to the health and welfare of all those in its custody and is undertaking a comprehensive agency-wide review of this incident, as it does in all such cases. Fatalities in ICE custody, statistically, are exceedingly rare and occur at a fraction of the national average for the U.S. detained population."
520,"March 20, 2020",DHS announces flexibility in requirements related to Form I-9 compliance,"|Worksite Enforcement, COVID-19",Employers with employees taking physical proximity precautions due to COVID-19 will not be required to review the employee’s identity and employment authorization documents in the employee’s physical presence.
521,"March 19, 2020",Honduran man in ICE custody passes away at Texas family residential center,|Detainee Death Notifications,"ICE is firmly committed to the health and welfare of all those in its custody and is undertaking a comprehensive agency-wide review of this incident, as it does in all such cases."
522,"March 18, 2020",Updated ICE statement on COVID-19,"|Operational, COVID-19","To ensure the welfare and safety of the general public as well as officers and agents in light of the ongoing COVID-19 pandemic response, U.S. Immigration and Customs Enforcement (ICE) will temporarily adjust its enforcement posture beginning today, March 18, 2020. ICE's highest priorities are to promote life-saving and public safety activities."
523,"March 13, 2020",ICE Homeland Security Investigations special agents make MS-13 arrests,|Transnational Gangs,"U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) special agents arrested six suspected MS-13 gang members at a number of locations in San Francisco, Daly City, Mountain View, Menlo Park, and South San Francisco on March 12."
524,"March 13, 2020","Illinois man pleads guilty to threatening minor, child pornography",|Child Exploitation,"David J. Cottrell, 30, of Niles, Illinois, enticed the underage victim into sending him sexually explicit photos of herself via online social messaging applications. "
525,"March 13, 2020","Unregistered, convicted sex-offender living in Reno arrested by ICE",|Enforcement and Removal,"Demetrio Lopez-Pena was convicted of rape by force and sodomy by force by the Superior Court of California, County of San Diego in 1982 and received an aggregated sentence of twelve years. His other convictions include a 1979 DUI conviction, and a 2010 conviction for failure to register as a sex offender and DUI, where he was sentence to 32 months prison."
526,"March 12, 2020","2 Los Angeles-area residents arrested by ICE HSI in marriage fraud scheme; 2 alleged ""beneficiaries"" also arrested ",|Document and Benefit Fraud,"In addition to the two Los Angeles-area residents, special agents with U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) arrested two Chinese nationals who each paid tens of thousands of dollars to enter into sham marriages with United States citizens to obtain Green Cards. The United States citizens in these situations were actually undercover HSI agents."
527,"March 12, 2020","Dutch national charged in takedown of obscene website selling over 2,000 ""real rape"" and child pornography videos, funded by cryptocurrency",|Financial Crimes,"Michael Rahim Mohammed, aka Mr. Dark, 32, was charged with various counts of distribution of child pornography, production and transportation of obscene matters for sale or distribution, engaging in the business of selling or transferring obscene matter, and laundering of monetary instruments according to the nine-count indictment and parallel civil forfeiture action unsealed today."
528,"March 12, 2020",ICE HSI joins law enforcement panel for Leadership Tampa Bay,|Operational,"Leadership Tampa Bay promotes the prosperity and vitality of the Tampa Bay region, enlightening local leaders to the importance of the area in the state of Florida. The group engages members with businesses and community leaders to enhance knowledge of regional assets and issues."
529,"March 11, 2020","Border Enforcement Security Task Force arrests Bothell man for money laundering scam and drug conspiracy, seizes massive amounts of illegal marijuana","|Narcotics, Contraband","Kenneth Warren Rhule, 26 of Bothell, Washington was arrested March 10 on an eight-count complaint charging him with operating an illegal money exchange business involving bitcoin, announced Acting SAC of ICE's HSI Seattle Eben Roberts and U.S. Attorney Brian T. Moran."
530,"March 11, 2020",Phony immigration attorney filed more than 215 fraudulent asylum applications,|Document and Benefit Fraud,"According to the indictment, Elvis Harold Reyes, 56, of Brandon, owned and operated EHR Ministries Inc., and portrayed himself as an immigration attorney, pastor, accountant, immigration expert, former immigration official and former federal law enforcement officer."
531,"March 10, 2020",ICE arrests Ecuadorian national released from NYC custody with an active detainer,|Enforcement and Removal,"Edgar Vinicio Guzman-Borja was arrested by the NYPD Feb. 2, on the charges of sexual abuse 1st degree: contact with victim less than 13 and act in manner to injure child less than 17."
532,"March 9, 2020",Record breaking meth bust in Arizona,|Narcotics,"CBP Officers discovered more than 600 packages of drugs concealed within a non-factory floor compartment of a tractor trailer that was laden with tomatoes and bell peppers, driven by a 34-year-old truck driver. Following an alert by a CBP narcotics detection canine, CBP officers seized approximately 690 pounds of methamphetamine with a street value of about $690,000.

"
533,"March 9, 2020",ICE detainee from Guatemala passes away in Texas,|Detainee Death Notifications,"Consistent with the agency’s protocols, the appropriate agencies have been notified about the death, including the Department of Homeland Security’s (DHS) Office of Inspector General (OIG), and the ICE Office of Professional Responsibility (OPR). Additionally, ICE has notified the Guatemalan consulate and Ochoa’s next of kin."
534,"March 9, 2020",ICE Boston arrests Zimbabwean national indicted for rape,|Enforcement and Removal,"Alois Mutare, 42, a citizen of Zimbabwe, was arrested during routine enforcement actions targeting at-large criminal aliens, illegal reentrants and other immigration violators in New England."
535,"March 6, 2020",Criminal history of apprehended Mexican national provided to ICE via subpoena,|Enforcement and Removal,"On December 21, ICE lodged an immigration detainer while Mr. Bautista was in state custody facing felony charges for false imprisonment with violence, and a misdemeanor charge for domestic violence. Pursuant to the California Trust Act (SB 54), the San Diego Sheriff’s Office (SDSO) did not honor the detainer. Mr. Bautista posted a bond and was released from state custody the same da"
536,"March 6, 2020",ICE HSI Tampa graduates latest Citizens' Academy,|Operational,"To honor the class, HSI’s acting Executive Associate Director Alysa Erichs, was on hand to join Sibley in presenting the class graduation certificates.

"
537,"March 5, 2020",ICE arrests Guatemalan national released from Philadelphia custody with an active detainer,|Enforcement and Removal,ERO Philadelphia arrested Eduardo Coc-Sep in Philadelphia without incident. He remains in ICE custody pending immigration proceedings before a federal immigration judge.
538,"March 5, 2020",2 Texas men facing federal charges after violently attacking a federal officer,|Operational,"A Laredo grand jury returned the indictment Feb. 25, 2020 against Juan Alfredo Crisencio Martinez, 20, and Jaythan Trevonne Phillips, 20, both from Irving, Texas. Both men went before U.S. District Judge Diana Song Quiroga who charged them with forcible assault."
539,"March 5, 2020",Tennessee man ordered removed to Germany based on service as a concentration camp guard during WWII,|Human Rights Violators,"After a two-day trial, U.S. Immigration Judge Rebecca L. Holt issued her opinion finding Friedrich Karl Berger removable under the Immigration and Nationality Act because his “willing service as an armed guard of prisoners at a concentration camp where persecution took place” constituted assistance in Nazi-sponsored persecution."
540,"March 5, 2020",ICE arrests criminal alien at San Francisco courthouse,|Enforcement and Removal,"Over the past five years, this recently apprehended criminal alien has been arrested by local law enforcement at least seven times. ICE lodged eight detainers with local law enforcement following his arrests. Due to sanctuary laws, he was released back into the community to reoffend. He is currently in ICE custody pending immigration proceedings."
541,"March 4, 2020",ICE Utah arrests Laotian man convicted of attempted homicide,|Enforcement and Removal,"Jason Somchanmavong, 31, an aggravated felon, is now in ICE custody waiting removal to his home country. He was convicted of attempted homicide and discharging a firearm from a vehicle Feb. 13, 2006."
542,"March 4, 2020",ICE ERO Phoenix removes Salvadoran national wanted for murder,|Enforcement and Removal,"On Dec.12, 2018, the U.S. Border Patrol arrested Mejia-Santos, after he illegally entered the U.S. near Lukeville, Arizona and placed him in removal proceedings."
543,"March 3, 2020",ICE removes former member of Guatemalan army linked to 1982 massacre,|Human Rights Violators,"Gilberto Jordan, 64, arrived in Guatemala escorted by ERO officers on board an ICE Air Operations charter removal flight. Upon arrival, Jordan was immediately turned over to Guatemalan law enforcement officials."
544,"March 3, 2020","2 Puerto Rican men indicted, arrested for wire fraud, misuse of Social Security account number",|Financial Crimes,"The indictment charges that from on or about Jan. 4, 2012, through on or about July 24, 2017, the defendants and other co-conspirators conspired and agreed to devise a scheme to defraud Unique Builders, Inc., a family business engaged in short and long-term construction and improvement projects using wire communications."
545,"March 3, 2020",Final defendant sentenced to federal prison for role in interstate identity theft scheme,|Document and Benefit Fraud,"On Monday, March 2, 2020, Gary Peck, 44, of Clark County, Washington, was sentenced to 36 months in federal prison and 3 years’ supervised release for his role in a credit card fraud ring that operated in the greater Portland metropolitan area from February 2017 to February 2018."
